Pregunta;Respuesta
¿Cada cuánto se debe amamantar a un recién nacido?;Se recomienda cada 2 o 3 horas, o a demanda.
¿Cómo sé si mi bebé está comiendo lo suficiente?;Si moja al menos 6 pañales al día y gana peso, está bien alimentado.
¿Es normal que un bebé duerma muchas horas?;Sí, los recién nacidos pueden dormir entre 16 y 18 horas al día.
¿Qué hacer si mi bebé llora mucho por la noche?;Puede tener gases, hambre o incomodidad. El contacto físico y los masajes pueden ayudar.
¿Cuándo debo llevar a mi bebé al pediatra por primera vez?;Dentro de los primeros 7 días de vida.
¿Cómo cuidar el cordón umbilical?;Mantenerlo limpio y seco, sin cubrirlo demasiado.
¿Por qué mi bebé tiene hipo?;El hipo es común en los recién nacidos y suele desaparecer solo.
¿Cuándo empieza un bebé a sonreír?;Generalmente entre las 4 y 6 semanas.
¿Mi bebé puede salir a pasear?;Sí, si el clima lo permite y se toman precauciones como evitar aglomeraciones.
¿Es normal que regurgite leche?;Sí, es común y normal si no hay signos de malestar o falta de crecimiento.
¿Qué hacer si mi bebé tiene fiebre?;Consultar al pediatra si la temperatura supera los 38°C.
¿Cuándo puedo empezar a darle comida sólida?;A partir de los 6 meses, si muestra signos de preparación.
¿Cómo calmar los cólicos?;Masajes suaves, mantenerlo en posición vertical y mover sus piernas pueden ayudar.
¿Cuántas horas debe dormir un bebé de 3 meses?;Entre 14 y 16 horas diarias, incluyendo siestas.
¿Por qué mi bebé no quiere tomar la teta?;Puede estar incómodo, distraído o tener un problema físico. Consultar con una asesora de lactancia.
¿Cuándo comienza a ver bien un bebé?;Desde el nacimiento distingue luces, y mejora su visión mes a mes.
¿Cuándo se recomienda usar protector solar?;Después de los 6 meses, en zonas pequeñas y con ropa que lo proteja.
¿Qué señales indican que un bebé está enfermo?;Fiebre, rechazo del alimento, decaimiento o llanto continuo.
¿Es seguro dormir con el bebé en la cama?;No se recomienda por riesgo de asfixia. Mejor compartir habitación, pero no cama.
¿Cuántas veces debe hacer caca un recién nacido?;Puede ser varias veces al día o una cada pocos días si toma pecho. Ambas son normales.
